Level,Date and Time,Source,Event ID,Task Category
Information,12/5/2019 11:25:10 AM,Service Control Manager,7036,None,The Remote Registry service entered the running state.
Error,12/5/2019 11:25:11 AM,SNMP,1500,None,The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information,12/5/2019 11:25:07 AM,Service Control Manager,7036,None,The Network Location Awareness service entered the running state.
Information,12/5/2019 11:25:07 AM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the running state.
Information,12/5/2019 11:25:06 AM,Service Control Manager,7036,None,The jmx service entered the running state.
Information,12/5/2019 11:25:05 AM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the running state.
Information,12/5/2019 11:25:05 AM,Service Control Manager,7036,None,The jenkins service entered the running state.
Information,12/5/2019 11:25:05 AM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information,12/5/2019 11:25:03 AM,Service Control Manager,7036,None,The domain1 GlassFish Server service entered the running state.
Information,12/5/2019 11:25:02 AM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the running state.
Information,12/5/2019 11:25:02 AM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information,12/5/2019 11:25:01 AM,Service Control Manager,7036,None,The Application Host Helper Service service entered the running state.
Information,12/5/2019 11:25:01 AM,Service Control Manager,7036,None,The Cryptographic Services service entered the running state.
Information,12/5/2019 11:25:01 AM,Service Control Manager,7036,None,The Print Spooler service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Security Accounts Manager service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Workstation service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Windows Firewall service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Base Filtering Engine service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Task Scheduler service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Shell Hardware Detection service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The DHCP Client service entered the running state.
Information,12/5/2019 11:25:00 AM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,12/5/2019 11:25:00 AM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Network Store Interface Service service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The System Event Notification Service service entered the running state.
Information,12/5/2019 11:25:00 AM,Service Control Manager,7036,None,The COM+ Event System service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The User Profile Service service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The Group Policy Client service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The Windows Event Log service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The Remote Procedure Call (RPC) service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The RPC Endpoint Mapper service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The DCOM Server Process Launcher service entered the running state.
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the running state.
Information,12/5/2019 11:24:59 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (6.1, ‎2009‎-‎07‎-‎13T23:26:13.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The Power service entered the running state.
Information,12/5/2019 11:24:59 AM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'true' 
PlugPlay caching subsystem enabled: 'true' 
"
Information,12/5/2019 11:24:59 AM,Service Control Manager,7036,None,The Plug and Play service entered the running state.
Information,12/5/2019 11:24:57 AM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 1 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/5/2019 11:24:57 AM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 0 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/5/2019 11:24:53 AM,Microsoft-Windows-Kernel-General,12,None,The operating system started at system time ‎2019‎-‎12‎-‎05T11:24:53.484375000Z.
Information,12/5/2019 11:18:10 AM,Microsoft-Windows-Kernel-General,13,None,The operating system is shutting down at system time ‎2019‎-‎12‎-‎05T11:18:10.774553400Z.
Information,12/5/2019 11:18:10 AM,Microsoft-Windows-Kernel-Power,109,(103),The kernel power manager has initiated a shutdown transition.
Information,12/5/2019 11:18:10 AM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the stopped state.
Information,12/5/2019 11:18:10 AM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the stopped state.
Information,12/5/2019 11:18:09 AM,Service Control Manager,7036,None,The jenkins service entered the stopped state.
Information,12/5/2019 11:18:09 AM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the stopped state.
Information,12/5/2019 11:18:09 AM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The wampmysqld service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The jmx service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Remote Desktop Services service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The SPP Notification Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The User Profile Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Plug and Play service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'false' 
PlugPlay caching subsystem enabled: 'false' 
"
Information,12/5/2019 11:24:59 AM,EventLog,6013,None,The system uptime is 6 seconds.
Information,12/5/2019 11:24:59 AM,EventLog,6005,None,The Event log service was started.
Information,12/5/2019 11:24:59 AM,EventLog,6009,None,Microsoft (R) Windows (R) 6.01. 7601 Service Pack 1 Multiprocessor Free.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Power service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Cryptographic Services service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Application Host Helper Service service entered the stopped state.
Information,12/5/2019 11:18:08 AM,Service Control Manager,7036,None,The Windows Event Log service entered the stopped state.
Information,12/5/2019 11:18:07 AM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the stopped state.
Information,12/5/2019 11:18:07 AM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the stopped state.
Information,12/5/2019 11:18:07 AM,Service Control Manager,7036,None,The Certificate Propagation service entered the stopped state.
Information,12/5/2019 11:18:07 AM,Service Control Manager,7036,None,The DHCP Client service entered the stopped state.
Information,12/5/2019 11:18:07 AM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,12/5/2019 11:18:07 AM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,12/5/2019 11:18:07 AM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the stopped state.
Information,12/5/2019 11:18:07 AM,EventLog,6006,None,The Event log service was stopped.
Error,12/5/2019 11:18:06 AM,Service Control Manager,7034,None,The domain1 GlassFish Server service terminated unexpectedly.  It has done this 1 time(s).
Information,12/5/2019 11:18:03 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/5/2019 11:18:01 AM,Service Control Manager,7036,None,The Windows Error Reporting Service service entered the running state.
Information,12/5/2019 11:18:01 AM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the stopped state.
Information,12/5/2019 11:18:00 AM,Service Control Manager,7036,None,The Group Policy Client service entered the stopped state.
Information,12/5/2019 11:18:00 AM,Service Control Manager,7036,None,The Windows Update service entered the stopped state.
Information,12/5/2019 11:18:00 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,12/5/2019 11:17:59 AM,USER32,1074,None,"The process wlms.exe has initiated the power off of computer VAGRANT-2008R2 on behalf of user NT AUTHORITY\SYSTEM for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information,12/5/2019 10:59:55 AM,Service Control Manager,7036,None,The Diagnostic System Host service entered the stopped state.
Information,12/5/2019 10:48:01 AM,Service Control Manager,7036,None,The SPP Notification Service service entered the running state.
Information,12/5/2019 10:34:23 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/5/2019 10:28:21 AM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/5/2019 10:20:04 AM,Service Control Manager,7036,None,The Network Connections service entered the running state.
Information,12/5/2019 10:19:56 AM,Service Control Manager,7036,None,The Windows Update service entered the running state.
Information,12/5/2019 10:19:55 AM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the stopped state.
Information,12/5/2019 10:19:55 AM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the running state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the running state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Diagnostic System Host service entered the running state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the running state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information,12/5/2019 10:19:54 AM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the running state.
Information,12/5/2019 10:19:53 AM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the stopped state.
Information,12/5/2019 10:19:53 AM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the running state.
Information,12/5/2019 10:17:59 AM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the running state.
Information,12/5/2019 10:17:58 AM,Service Control Manager,7036,None,The Remote Desktop Configuration service entered the running state.
Information,12/5/2019 10:17:58 AM,Service Control Manager,7036,None,The Certificate Propagation service entered the running state.
Information,12/5/2019 10:17:58 AM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:172.24.0.109 has been brought up.
Information,12/5/2019 10:17:57 AM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the running state.
Information,12/5/2019 10:17:57 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/5/2019 10:17:57 AM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the running state.
Information,12/5/2019 10:17:57 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/5/2019 10:17:56 AM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/5/2019 10:17:56 AM,Service Control Manager,7036,None,The Remote Desktop Services service entered the running state.
Information,12/5/2019 10:17:56 AM,Service Control Manager,7036,None,The Network List Service service entered the running state.
Information,12/5/2019 10:17:55 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Error,12/5/2019 10:17:55 AM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) failed to load: 
cdrom"
Information,12/5/2019 10:17:55 AM,Service Control Manager,7036,None,The wampmysqld service entered the running state.
Information,12/5/2019 10:17:52 AM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the running state.
Information,12/5/2019 10:17:52 AM,Service Control Manager,7036,None,The Server service entered the running state.
Information,12/5/2019 10:17:51 AM,Microsoft-Windows-WinRM,10121,None,"The WinRM service has been configured to accept basic authentication for unsecure HTTP connections. 

 This is not a secure configuration. 

 User Action 
 Set AllowUnencrypted to False in WinRM configuration to ensure packets are encrypted on the wire."
Information,12/5/2019 10:17:50 AM,Microsoft-Windows-WinRM,10148,None,"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener"
Information,12/5/2019 10:17:49 AM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the running state.
Information,12/5/2019 10:17:48 AM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the running state.
Information,12/5/2019 10:17:48 AM,Service Control Manager,7036,None,The IP Helper service entered the running state.
Information,12/5/2019 10:17:46 AM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the running state.
Information,12/5/2019 10:17:46 AM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the running state.
Information,12/5/2019 10:17:45 AM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the running state.
Information,12/5/2019 10:17:45 AM,Service Control Manager,7036,None,The wampapache service entered the running state.
Information,12/5/2019 10:17:45 AM,SNMP,1001,None,The SNMP Service has started successfully.
Information,12/5/2019 10:17:43 AM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the running state.
Information,12/5/2019 10:17:42 AM,Service Control Manager,7036,None,The OpenSSH Server service entered the running state.
Information,12/5/2019 10:17:41 AM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the running state.
Information,12/5/2019 10:17:40 AM,Service Control Manager,7036,None,The SNMP Service service entered the running state.
Information,12/5/2019 10:17:40 AM,Service Control Manager,7036,None,The Remote Registry service entered the running state.
Error,12/5/2019 10:17:40 AM,SNMP,1500,None,The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information,12/5/2019 10:17:38 AM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the running state.
Information,12/5/2019 10:17:38 AM,Service Control Manager,7036,None,The Network Location Awareness service entered the running state.
Information,12/5/2019 10:17:37 AM,Service Control Manager,7036,None,The jmx service entered the running state.
Information,12/5/2019 10:17:37 AM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the running state.
Information,12/5/2019 10:17:36 AM,Service Control Manager,7036,None,The jenkins service entered the running state.
Information,12/5/2019 10:17:36 AM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information,12/5/2019 10:17:34 AM,Service Control Manager,7036,None,The domain1 GlassFish Server service entered the running state.
Information,12/5/2019 10:17:34 AM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the running state.
Information,12/5/2019 10:17:34 AM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Application Host Helper Service service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Cryptographic Services service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Print Spooler service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Security Accounts Manager service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Workstation service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Windows Firewall service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Base Filtering Engine service entered the running state.
Information,12/5/2019 10:17:33 AM,Service Control Manager,7036,None,The Task Scheduler service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Shell Hardware Detection service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The DHCP Client service entered the running state.
Information,12/5/2019 10:17:32 AM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,12/5/2019 10:17:32 AM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Network Store Interface Service service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The System Event Notification Service service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The COM+ Event System service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The User Profile Service service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Group Policy Client service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Windows Event Log service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Remote Procedure Call (RPC) service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The RPC Endpoint Mapper service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The DCOM Server Process Launcher service entered the running state.
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the running state.
Information,12/5/2019 10:17:32 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (6.1, ‎2009‎-‎07‎-‎13T23:26:13.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Power service entered the running state.
Information,12/5/2019 10:17:32 AM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'true' 
PlugPlay caching subsystem enabled: 'true' 
"
Information,12/5/2019 10:17:32 AM,Service Control Manager,7036,None,The Plug and Play service entered the running state.
Information,12/5/2019 10:17:31 AM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 1 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/5/2019 10:17:31 AM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 0 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/5/2019 10:17:28 AM,Microsoft-Windows-Kernel-General,12,None,The operating system started at system time ‎2019‎-‎12‎-‎05T10:17:28.484375000Z.
Information,12/5/2019 10:04:00 AM,Microsoft-Windows-Kernel-General,13,None,The operating system is shutting down at system time ‎2019‎-‎12‎-‎05T10:04:00.937494500Z.
Information,12/5/2019 10:04:00 AM,Microsoft-Windows-Kernel-Power,109,(103),The kernel power manager has initiated a shutdown transition.
Information,12/5/2019 10:03:59 AM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the stopped state.
Information,12/5/2019 10:03:58 AM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the stopped state.
Information,12/5/2019 10:03:58 AM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the stopped state.
Information,12/5/2019 10:03:58 AM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the stopped state.
Information,12/5/2019 10:03:58 AM,Service Control Manager,7036,None,The wampmysqld service entered the stopped state.
Information,12/5/2019 10:03:58 AM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the stopped state.
Information,12/5/2019 10:03:58 AM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Remote Desktop Services service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Windows Modules Installer service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The User Profile Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The SPP Notification Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Plug and Play service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'false' 
PlugPlay caching subsystem enabled: 'false' 
"
Information,12/5/2019 10:17:32 AM,EventLog,6013,None,The system uptime is 4 seconds.
Information,12/5/2019 10:17:32 AM,EventLog,6005,None,The Event log service was started.
Information,12/5/2019 10:17:32 AM,EventLog,6009,None,Microsoft (R) Windows (R) 6.01. 7601 Service Pack 1 Multiprocessor Free.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Power service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Cryptographic Services service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Application Host Helper Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Windows Event Log service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The DHCP Client service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,12/5/2019 10:03:57 AM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Certificate Propagation service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the stopped state.
Information,12/5/2019 10:03:57 AM,EventLog,6006,None,The Event log service was stopped.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The jmx service entered the stopped state.
Information,12/5/2019 10:03:57 AM,Service Control Manager,7036,None,The jenkins service entered the stopped state.
Error,12/5/2019 10:03:56 AM,Service Control Manager,7034,None,The domain1 GlassFish Server service terminated unexpectedly.  It has done this 1 time(s).
Information,12/5/2019 10:03:51 AM,Service Control Manager,7036,None,The Windows Error Reporting Service service entered the running state.
Information,12/5/2019 10:03:49 AM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the stopped state.
Information,12/5/2019 10:03:49 AM,Service Control Manager,7036,None,The Group Policy Client service entered the stopped state.
Information,12/5/2019 10:03:49 AM,Service Control Manager,7036,None,The Windows Update service entered the stopped state.
Information,12/5/2019 10:03:49 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,12/5/2019 10:03:42 AM,USER32,1074,None,"The process wlms.exe has initiated the power off of computer VAGRANT-2008R2 on behalf of user NT AUTHORITY\SYSTEM for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information,12/5/2019 9:56:15 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/5/2019 9:48:42 AM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/5/2019 9:48:40 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/5/2019 9:48:39 AM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/5/2019 9:48:35 AM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/5/2019 9:45:34 AM,Service Control Manager,7036,None,The Diagnostic System Host service entered the stopped state.
Information,12/5/2019 9:38:05 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,12/5/2019 9:38:05 AM,Microsoft-Windows-Kernel-General,1,None,The system time has changed to ‎2019‎-‎12‎-‎05T09:38:05.732000000Z from ‎2019‎-‎12‎-‎04T17:03:04.627155300Z.
Information,12/4/2019 5:03:03 PM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:172.24.0.109 has been brought up.
Information,12/4/2019 5:02:59 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
